date,text
2023-03-21,"Madison, Dane County, WI:  [population] 6220 => 269840"
2023-03-21,"Springfield, Sangamon County, IL:  place added"
2023-03-21,"Lexington, Fayette, KY:  place added"
2023-03-21,"Charleston, Coles County, IL:  place added"
2023-03-21,"Fargo, Cass County, ND:  place added"
2023-03-21,"Austin, Mower County, MN:  place added"
2023-03-21,"Saint Petersburg, Russia:  place added"
2023-03-21,"Rochester, Olmsted County, MN:  place added"
2023-03-21,"Athens, Athens County, OH:  place added"
2023-03-21,"Rochester, Olmsted County, MN:  [population] 2126 => 121465 | [latitude] 43.971 => 44.022 | [longitude] -92.508 => -92.470 | [wiki] 1925 => 19806"
2023-03-21,"Edwardsville, Madison County, IL:  place added"